label,display_name,group_type,image_count,centroid_l2_to_real,centroid_cosine_to_real,pca_centroid_l2_to_real,mmd_rbf_to_real,syn_to_real_nn_mean,syn_to_real_nn_median,real_to_syn_nn_mean,source_objective_value,source_manifest_rank,project_name,category,cycle_index,timestamp,selection_kind,trial_id,run_id,iteration_index,cache_path
base:exp25_image_aug_cool_gain,exp25_image_aug_cool_gain,base,128,16.016481399536133,0.4396396794725119,13.5706787109375,0.5267207242949876,24.260836768828312,25.58561703022543,19.121292804549206,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp25_image_aug_cool_gain
base:exp04_forklifts_low_pov,exp04_forklifts_low_pov,base,128,16.32962417602539,0.4412138729102517,14.039419174194336,0.5514715815839283,21.918120674910107,21.021972465998886,19.142757153985713,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp04_forklifts_low_pov
base:exp26_image_aug_darken,exp26_image_aug_darken,base,128,16.661602020263672,0.48910673884192757,14.527655601501465,0.5425404358012121,25.032880476925197,26.293272384224537,18.80247153763281,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp26_image_aug_darken
base:exp28_image_aug_low_gamma,exp28_image_aug_low_gamma,base,128,16.77853012084961,0.497665830883825,14.637690544128418,0.5450714232403597,24.929048435811332,26.502458013672722,19.21190302178572,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp28_image_aug_low_gamma
base:exp22_image_aug_contrast,exp22_image_aug_contrast,base,128,16.82272720336914,0.5018533275171371,14.554788589477539,0.5494142224441119,25.155153136125428,26.578565600530176,19.518682630542404,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp22_image_aug_contrast
base:exp24_image_aug_warm_gain,exp24_image_aug_warm_gain,base,128,16.854291915893555,0.4963891958142004,14.354098320007324,0.5526756381190224,24.575914202810104,25.9919829374018,20.360911540925965,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp24_image_aug_warm_gain
base:exp27_image_aug_low_contrast,exp27_image_aug_low_contrast,base,128,16.86882209777832,0.5051406724972287,14.73276138305664,0.549542086234045,24.89758237113486,26.429292575959643,20.049680312111658,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp27_image_aug_low_contrast
base:exp23_image_aug_gamma,exp23_image_aug_gamma,base,128,16.974449157714844,0.5100193141068528,14.783055305480957,0.5554751126429844,24.795034934049816,26.227945080099765,19.01871598359622,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp23_image_aug_gamma
base:exp21_image_aug_brightness,exp21_image_aug_brightness,base,128,16.988679885864258,0.5135161097553645,14.897345542907715,0.5564930006397238,24.835464931961305,26.223090199116072,20.224681734057324,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp21_image_aug_brightness
base:exp20_reference_mixed_deployment,exp20_reference_mixed_deployment,base,128,17.062915802001953,0.5157276229572865,14.52959156036377,0.5595929317983619,24.43905129140515,26.009819526885423,19.972161774823828,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp20_reference_mixed_deployment
base:exp19_low_light_medium_clutter,exp19_low_light_medium_clutter,base,128,17.0687198638916,0.5070410431750771,14.467885971069336,0.5645852833549544,24.274817593699296,25.947072900479334,19.950934008815658,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp19_low_light_medium_clutter
base:exp12_jpeg_artifacts,exp12_jpeg_artifacts,base,128,17.405040740966797,0.5247899899708006,13.83679485321045,0.5663397553914918,24.86752536779749,26.02730290759959,19.666642138750746,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp12_jpeg_artifacts
base:exp18_high_spread_objects,exp18_high_spread_objects,base,128,17.46710777282715,0.5337076791848758,14.793048858642578,0.5696721033303092,24.71218971287435,26.00482876486133,19.452974677686807,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp18_high_spread_objects
base:exp30_forklift_side_view,exp30_forklift_side_view,base,128,17.680116653442383,0.5504617021854621,15.636255264282227,0.5809537428438913,24.08348303858789,26.415537605264923,19.463540583986266,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp30_forklift_side_view
base:exp08_roll_variation_medium_noise,exp08_roll_variation_medium_noise,base,128,17.782407760620117,0.5638387210530388,15.317212104797363,0.5789722639062111,24.76960861397886,25.66856898697425,19.72353574844573,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp08_roll_variation_medium_noise
base:exp10_shot_noise_dark,exp10_shot_noise_dark,base,128,17.888839721679688,0.5790417641965286,15.48084831237793,0.5816554985856449,25.157695110299258,26.313139316096503,20.007753649829095,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp10_shot_noise_dark
base:exp05_floor_level_wide_spread,exp05_floor_level_wide_spread,base,128,18.139801025390625,0.5742658512516514,14.890836715698242,0.5874057301015371,25.458972243544892,27.069114177555907,19.053554040685516,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp05_floor_level_wide_spread
base:exp06_close_telephoto_sparse,exp06_close_telephoto_sparse,base,128,18.436128616333008,0.6187212863354529,14.81010913848877,0.593049903706618,26.684127646078036,27.33459156617993,21.752431365435243,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp06_close_telephoto_sparse
base:exp01_clean_overhead_low_noise,exp01_clean_overhead_low_noise,base,128,18.580196380615234,0.561428537585138,15.803264617919922,0.6209553163158553,22.76601411562585,23.631606477511397,22.095844634140402,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp01_clean_overhead_low_noise
base:exp31_dt_boxes_pallet_distractors,exp31_dt_boxes_pallet_distractors,base,128,18.75653839111328,0.592723475737438,14.312294960021973,0.6159101602579582,26.00058821136917,26.935642836113875,20.429231733601497,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp31_dt_boxes_pallet_distractors
base:exp09_forward_pov_low_noise,exp09_forward_pov_low_noise,base,128,19.43321990966797,0.6693975393668923,16.678510665893555,0.6342936827646712,25.46832370880331,26.378216728623954,26.223336015743122,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp09_forward_pov_low_noise
base:exp16_fisheye_polynomial,exp16_fisheye_polynomial,base,128,19.841670989990234,0.590581412314924,14.629749298095703,0.6647234037296834,22.550560476321422,22.229470039578793,22.623720484968757,,,,,,,,,,,/Users/orram/Tensorleap/data/warehouse/base_v2_final/exp16_fisheye_polynomial
