distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_additional_distractors,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_num_warehouse_distractors,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_distractors,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max
dist_54,simulation_1,128,0.3638241939642433,69,122497,418679,0.11597354805798771,1,34,4,31,2,360,nv_granite_tile.jpg,nv_artificialgrass_green.jpg,nv_tile_hexagonal_green_white.jpg,0.08565824959643054,warehouse,nv_brick_red_stacked.jpg,nv_fireplace_wall.jpg,nv_tile_hexagonal_various.jpg,nv_stucco_red_painted.jpg,nv_stone_painted_grey.jpg,nv_plastic_blue.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,1,nv_gravel_grey_leaves.jpg,4.102535138711653,100,0.3506921657052557,4,0.3906597930545993
dist_55,simulation_1,128,2.8029026142658138,64,138943,408383,0.31179284400137985,0,34,5,31,2,360,nv_granite_tile.jpg,nv_granite_tile.jpg,nv_tile_hexagonal_various.jpg,0.5156794276964978,additional,,nv_brick_reclaimed.jpg,nv_brick_red_stacked.jpg,nv_stucco_red_painted.jpg,nv_rubber_woven_charcoal.jpg,nv_plastic_blue.jpg,,,1,,2.924676445023273,73,1.0,4,2.0
dist_56,simulation_1,128,1.141903567533992,63,110766,242265,0.3204131573451031,0,34,4,31,2,360,nv_animalfur_pattern_greys.jpg,nv_marble.jpg,nv_bamboo_desktop.jpg,0.6921613416941319,additional,,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_wood_shingles_brown.jpg,nv_stone_painted_grey.jpg,nv_wooden_wall.jpg,nv_plastic_blue.jpg,,1,nv_gravel_grey_leaves.jpg,3.717525618217806,91,1.0,1,1.6687459675102838
dist_57,simulation_1,128,1.1766250106536522,73,113321,350355,0.19723813928501766,1,34,5,31,2,360,nv_granite_tile.jpg,nv_granite_tile.jpg,nv_bamboo_desktop.jpg,0.6139335847600618,None,,nv_fireplace_wall.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_red_painted.jpg,nv_rubber_woven_charcoal.jpg,nv_wooden_wall.jpg,,,1,nv_gravel_grey_leaves.jpg,4.067366897009363,100,0.8411780024007942,5,0.6980276413786479
dist_58,simulation_1,128,2.456528319866865,53,148598,440753,0.29121132910362324,2,34,5,31,2,360,nv_animalfur_pattern_greys.jpg,nv_granite_tile.jpg,nv_bamboo_desktop.jpg,0.28590678923916013,None,,nv_stone_red_hatch.jpg,nv_fabric_square_grid.jpg,nv_stucco_smooth_blue.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,1,,4.626101512124064,60,0.5379655257387941,6,2.0
dist_59,simulation_1,128,1.384034659960222,76,94282,422034,0.3665356480148374,2,34,1,31,2,360,nv_granite_tile.jpg,nv_artificialgrass_green.jpg,nv_tile_hexagonal_various.jpg,0.36830953050684834,additional,,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_wooden_wall.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,1,nv_gravel_grey_leaves.jpg,2.9268563474166265,100,0.45522721765148666,4,1.5648404735755133
dist_60,simulation_1,128,2.9955382807806634,82,124980,368499,0.31808868235411636,3,34,0,31,2,360,nv_granite_tile.jpg,nv_marble.jpg,nv_tile_hexagonal_various.jpg,0.25929675886577375,None,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,nv_fabric_square_grid.jpg,nv_stucco_red_painted.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,nv_plastic_blue.jpg,nv_brick_reclaimed.jpg,1,,3.290448889267204,100,0.4574201289345997,6,1.0816057449466667
dist_61,simulation_1,128,2.7295500345497152,41,126465,585358,0.28008409173092097,3,34,0,31,2,360,nv_animalfur_pattern_greys.jpg,nv_granite_tile.jpg,nv_carpet_abstract_pattern.jpg,0.250966661340298,warehouse,nv_brick_red_stacked.jpg,nv_brick_reclaimed.jpg,nv_fabric_square_grid.jpg,nv_wood_shingles_brown.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,,nv_brick_reclaimed.jpg,1,nv_wood_siding_weathered_green.jpg,5.0,94,0.5189564234913221,6,2.0
dist_62,simulation_1,128,0.37335204890607954,42,112475,563688,0.2693508989763571,1,34,0,31,2,360,nv_marble.jpg,nv_artificialgrass_green.jpg,nv_bamboo_desktop.jpg,0.157954822835348,None,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,nv_brick_red_stacked.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_carpet_abstract_pattern.jpg,,,1,,3.8115117414348845,60,1.0,6,1.2396341740554397
dist_63,simulation_1,128,1.1487453137697043,61,137515,383706,0.1788991326627209,1,34,5,31,2,360,nv_animalfur_pattern_greys.jpg,nv_granite_tile.jpg,nv_bamboo_desktop.jpg,0.9791049380151545,additional,nv_brick_red_stacked.jpg,nv_stone_red_hatch.jpg,nv_concrete_aged_with_lines.jpg,nv_stucco_smooth_blue.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,,nv_brick_reclaimed.jpg,1,nv_gravel_grey_leaves.jpg,5.0,68,0.6015053061318343,2,2.0
dist_64,simulation_1,128,1.0561007983689454,79,100455,564308,0.37698095179839197,3,34,0,31,2,360,nv_concrete_aged_with_lines.jpg,nv_wooden_wall.jpg,nv_tile_hexagonal_various.jpg,0.2972378077086172,None,,nv_stone_red_hatch.jpg,nv_tile_square_green.jpg,nv_wood_shingles_brown.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,,nv_brick_reclaimed.jpg,1,nv_wood_siding_weathered_green.jpg,3.1402484720582042,100,1.0,6,1.7025648271250327
dist_65,simulation_1,128,1.6833822051867116,44,106916,395067,0.32611212977273624,3,34,4,31,2,360,nv_concrete_aged_with_lines.jpg,nv_marble.jpg,nv_carpet_abstract_pattern.jpg,0.2806832155159743,None,nv_brick_red_stacked.jpg,nv_fireplace_wall.jpg,nv_concrete_aged_with_lines.jpg,nv_wood_shingles_brown.jpg,nv_rubber_woven_charcoal.jpg,nv_asphalt_yellow_weathered.jpg,nv_plastic_blue.jpg,,1,nv_wood_siding_weathered_green.jpg,5.0,60,0.9625498598191249,4,0.7960461347393513
dist_66,simulation_1,128,1.9302477276864731,71,88014,353535,0.228118254477771,1,34,0,31,2,360,nv_granite_tile.jpg,nv_wooden_wall.jpg,nv_gravel_grey_leaves.jpg,0.7239730554660938,None,,nv_tile_hexagonal_green_white.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,,,nv_brick_reclaimed.jpg,1,nv_wood_siding_weathered_green.jpg,5.0,94,0.3950617701563539,4,1.0093328248010949
dist_67,simulation_1,128,1.2338691517899634,47,81781,458329,0.3184511587273716,1,34,0,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_marble.jpg,nv_bamboo_desktop.jpg,0.03899601257491159,None,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,nv_carpet_abstract_pattern.jpg,,,1,nv_wood_siding_weathered_green.jpg,3.8553085053678977,68,0.8989607129609682,2,0.927194702229477
