path,stem,num_pt,num_preds,mean_pt_iou,pt_recall_50,per_box_ious
/dataset/subset-3/2019-12-17_10/Cam3/1576592942.2611804.jpg,1576592942.2611804,3,46,0.4386,0.3333,"[0.649, 0.377, 0.289]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596193.2728524.jpg,1576596193.2728524,2,36,0.4397,0.5,"[0.675, 0.205]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596191.0563583.jpg,1576596191.0563583,2,33,0.4553,0.5,"[0.633, 0.277]"
"/dataset/subset-3/2019-12-17_9/Kinect/color/3362674,7424.jpg","3362674,7424",2,35,0.4558,0.5,"[0.578, 0.334]"
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592741574,07.jpg","1576592741574,07",3,32,0.4707,0.3333,"[0.705, 0.451, 0.256]"
/dataset/subset-3/2019-12-17_10/Cam2/1576592747.5939894.jpg,1576592747.5939894,3,21,0.48,0.3333,"[0.793, 0.327, 0.32]"
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592671534,78.jpg","1576592671534,78",2,43,0.4827,0.5,"[0.774, 0.191]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576596195910,17.jpg","1576596195910,17",2,24,0.4852,0.0,"[0.489, 0.481]"
/dataset/subset-3/2019-12-17_10/Cam3/1576592961.123327.jpg,1576592961.123327,3,17,0.4917,0.6667,"[0.264, 0.614, 0.597]"
/dataset/subset-3/2019-12-17_10/Cam1/1576594081.843254.jpg,1576594081.843254,4,33,0.5053,0.5,"[0.568, 0.406, 0.551, 0.497]"
"/dataset/subset-3/2019-12-17_5/Kinect/color/287964,7819.jpg","287964,7819",1,1,0.5156,1.0,[0.516]
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592752171,47.jpg","1576592752171,47",3,17,0.5204,0.6667,"[0.308, 0.519, 0.734]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576592954721,05.jpg","1576592954721,05",3,25,0.5429,0.3333,"[0.852, 0.368, 0.409]"
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592746374,78.jpg","1576592746374,78",3,24,0.555,0.6667,"[0.393, 0.536, 0.736]"
/dataset/subset-3/2019-12-17_10/Cam1/1576594082.9448643.jpg,1576594082.9448643,4,27,0.5621,0.75,"[0.263, 0.777, 0.535, 0.674]"
/dataset/subset-3/2019-12-17_10/Cam2/1576592952.9973395.jpg,1576592952.9973395,3,41,0.5653,0.3333,"[0.895, 0.442, 0.359]"
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576592954057,88.jpg","1576592954057,88",3,30,0.567,0.3333,"[0.866, 0.458, 0.377]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596185.4985235.jpg,1576596185.4985235,2,40,0.5671,0.5,"[0.778, 0.356]"
/dataset/subset-3/2019-12-17_10/Cam3/1576592746.7789822.jpg,1576592746.7789822,2,18,0.5745,0.5,"[0.74, 0.409]"
/dataset/subset-3/2019-12-17_10/Cam3/1576596295.500085.jpg,1576596295.500085,1,2,0.5746,1.0,[0.575]
/dataset/subset-3/2019-12-17_10/Cam1/1576594812.532667.jpg,1576594812.532667,3,40,0.5865,0.6667,"[0.325, 0.681, 0.754]"
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592669546,51.jpg","1576592669546,51",1,28,0.6108,1.0,[0.611]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576596196908,75.jpg","1576596196908,75",2,24,0.6138,1.0,"[0.66, 0.567]"
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592758133,58.jpg","1576592758133,58",3,9,0.6225,0.6667,"[0.725, 0.422, 0.721]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596198.8168786.jpg,1576596198.8168786,3,10,0.6275,1.0,"[0.861, 0.502, 0.52]"
/dataset/subset-3/2019-12-17_10/Cam3/1576596194.7408586.jpg,1576596194.7408586,3,14,0.6293,0.6667,"[0.793, 0.453, 0.642]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596295.1383312.jpg,1576596295.1383312,1,2,0.6466,1.0,[0.647]
"/dataset/subset-3/2019-12-17_9/RealSense/color/0/1576596199569,15.jpg","1576596199569,15",3,18,0.6516,0.6667,"[0.753, 0.469, 0.732]"
"/dataset/subset-3/2019-12-17_8/RealSense/color/0/1576592740250,09.jpg","1576592740250,09",3,26,0.6656,1.0,"[0.519, 0.647, 0.83]"
/dataset/subset-3/2019-12-17_10/Cam2/1576596275.2649894.jpg,1576596275.2649894,1,10,0.6754,1.0,[0.675]
/dataset/subset-3/2019-12-17_10/Cam2/1576592759.1155803.jpg,1576592759.1155803,3,14,0.6852,0.6667,"[0.786, 0.326, 0.944]"
/dataset/subset-3/2019-12-17_10/Cam1/1576592663.3978252.jpg,1576592663.3978252,1,18,0.6891,1.0,[0.689]
"/dataset/subset-3/2019-12-17_9/Kinect/color/3048745,5484.jpg","3048745,5484",3,45,0.7173,1.0,"[0.794, 0.593, 0.765]"
/dataset/subset-3/2019-12-17_10/Cam1/1576591740.1848662.jpg,1576591740.1848662,1,2,0.7589,1.0,[0.759]
"/dataset/subset-3/2019-12-17_5/Kinect/color/294231,6619.jpg","294231,6619",1,5,0.7895,1.0,[0.79]
/dataset/subset-3/2019-12-17_10/Cam2/1576596277.4606686.jpg,1576596277.4606686,1,8,0.7971,1.0,[0.797]
/dataset/subset-3/2019-12-17_10/Cam3/1576596029.6918302.jpg,1576596029.6918302,3,54,0.8253,1.0,"[0.669, 0.895, 0.912]"
/dataset/subset-3/2019-12-17_10/Cam1/1576592006.4469478.jpg,1576592006.4469478,3,46,0.8376,1.0,"[0.868, 0.751, 0.893]"
/dataset/subset-3/2019-12-17_10/Cam2/1576591750.4998326.jpg,1576591750.4998326,1,6,0.8685,1.0,[0.868]
/dataset/subset-3/2019-12-17_10/Cam2/1576591749.3874242.jpg,1576591749.3874242,1,4,0.8934,1.0,[0.893]
/dataset/subset-3/2019-12-17_10/Cam3/1576596250.1925747.jpg,1576596250.1925747,1,33,0.9042,1.0,[0.904]
