image_id,image_path,width,height,num_gt,gt_pallet_truck,gt_forklift,gt_pallet,real_tp,real_fp,real_fn,real_precision,real_recall,real_f1,real_mean_iou,real_num_preds,real_max_score,base_synth_tp,base_synth_fp,base_synth_fn,base_synth_precision,base_synth_recall,base_synth_f1,base_synth_mean_iou,base_synth_num_preds,base_synth_max_score,opt0_tp,opt0_fp,opt0_fn,opt0_precision,opt0_recall,opt0_f1,opt0_mean_iou,opt0_num_preds,opt0_max_score,opt0_beats_real,opt0_beats_base_synth,opt0_beats_both,opt0_f1_gain_vs_real,opt0_f1_gain_vs_base_synth,opt0_f1_gain_min
17636,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593527.804971.jpg,1280,800,11,0,0,11,5,4,6,0.5556,0.4545,0.5,0.6946,9,0.6204,3,6,8,0.3333,0.2727,0.3,0.7251,9,0.7115,4,2,7,0.6667,0.3636,0.4706,0.6584,6,0.6342,False,True,False,-0.0294,0.1706,-0.0294
17637,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593568.8300257.jpg,1280,800,7,0,0,7,6,3,1,0.6667,0.8571,0.75,0.7252,9,0.7895,7,1,0,0.875,1.0,0.9333,0.7327,8,0.8286,7,0,0,1.0,1.0,1.0,0.7145,7,0.7891,True,True,True,0.25,0.0667,0.0667
17638,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593573.2554002.jpg,1280,800,6,0,0,6,4,2,2,0.6667,0.6667,0.6667,0.773,6,0.7738,4,1,2,0.8,0.6667,0.7273,0.7724,5,0.798,5,1,1,0.8333,0.8333,0.8333,0.7132,6,0.8397,True,True,True,0.1666,0.106,0.106
17639,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593585.4433813.jpg,1280,800,6,0,0,6,4,2,2,0.6667,0.6667,0.6667,0.6726,6,0.8248,2,2,4,0.5,0.3333,0.4,0.7523,4,0.8346,2,1,4,0.6667,0.3333,0.4444,0.7661,3,0.8539,False,True,False,-0.2223,0.0444,-0.2223
17640,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593607.560528.jpg,1280,800,5,0,0,5,4,6,1,0.4,0.8,0.5333,0.6715,10,0.7883,5,6,0,0.4545,1.0,0.625,0.6924,11,0.8198,4,2,1,0.6667,0.8,0.7273,0.6975,6,0.8584,True,True,True,0.194,0.1023,0.1023
17641,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593618.6319046.jpg,1280,800,3,0,0,3,3,2,0,0.6,1.0,0.75,0.7935,5,0.6842,3,1,0,0.75,1.0,0.8571,0.7926,4,0.6626,3,2,0,0.6,1.0,0.75,0.7557,5,0.7376,False,False,False,0.0,-0.1071,-0.1071
17642,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593624.1707294.jpg,1280,800,2,0,0,2,1,0,1,1.0,0.5,0.6667,0.5442,1,0.4676,1,1,1,0.5,0.5,0.5,0.5522,2,0.3715,0,1,2,0.0,0.0,0.0,0.0,1,0.4336,False,False,False,-0.6667,-0.5,-0.6667
17643,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593626.3870418.jpg,1280,800,7,0,0,7,5,3,2,0.625,0.7143,0.6667,0.6609,8,0.5789,6,1,1,0.8571,0.8571,0.8571,0.598,7,0.6433,6,1,1,0.8571,0.8571,0.8571,0.5718,7,0.6651,True,False,False,0.1904,0.0,0.0
17644,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593627.5086405.jpg,1280,800,8,0,0,8,4,4,4,0.5,0.5,0.5,0.6278,8,0.521,5,1,3,0.8333,0.625,0.7143,0.6087,6,0.5312,4,3,4,0.5714,0.5,0.5333,0.5814,7,0.6703,True,False,False,0.0333,-0.181,-0.181
17645,/Users/orram/Tensorleap/data/warehouse/dataset/subset-3/2019-12-17_10/Cam1/1576593686.135156.jpg,1280,800,11,1,0,10,8,11,3,0.4211,0.7273,0.5333,0.6908,19,0.6575,8,13,3,0.381,0.7273,0.5,0.728,21,0.7035,7,9,4,0.4375,0.6364,0.5185,0.6979,16,0.735,False,True,False,-0.0148,0.0185,-0.0148
