distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_instances,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_instances,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_instances,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_distractor_position_mean_x,metadata.synth_metadata_mean_std_synth_distractors,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_lighting_color_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_g,metadata.synth_metadata_mean_std_synth_lighting_color_mean_r,metadata.synth_metadata_mean_std_synth_lighting_color_std_b,metadata.synth_metadata_mean_std_synth_lighting_color_std_g,metadata.synth_metadata_mean_std_synth_lighting_color_std_r,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std
dist_131,simulation_1,128,0,jpeg,34,1,0.38814051188687104,1.4928435985017012,3.0204692263202153,0.5390408981515529,warehouse_multiple_shelves,4,3.4552413036662903,1.1791760402983704,-1,180,49.78502496030855,3,3,1,1,2,22,4,1,2,2,3,11,2,3,2,0,warehouse,0,107,0,-1,7.722477900379678,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886776304515528,0.28867896656720277,0.28867952556522364,155922,560860,111,145.17659110621773
dist_132,simulation_1,128,1,shot,61,2,5.236711303599361,1.1804806292349936,1.1738154242568117,0.5171962709136161,warehouse_multiple_shelves,10,2.191751663153099,1.152387298477258,-1,180,88.51033772557473,2,4,1,2,2,8,4,1,4,3,4,12,2,3,1,0,warehouse,0,107,0,-1,8.249297317530127,0,1,0,nv_plastic_blue.jpg,nv_gravel_grey_leaves.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886831482817058,0.2886764960917233,0.2886767721676773,59350,62190,295,87.78236931225501
dist_133,simulation_1,128,0,jpeg,52,0,3.0750639671925235,1.794919218808006,1.5393227819443922,0.548429598837731,warehouse_multiple_shelves,4,0.7980105855969578,0.8892631644513647,-1,180,39.39334021601652,3,3,1,2,2,5,5,1,1,2,3,8,1,2,3,0,warehouse,0,106,0,-1,6.8630321243695205,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28868227787223816,0.2886775498585905,0.288677109407986,176000,563942,131,82.00001874140466
dist_134,simulation_1,128,0,jpeg,34,0,4.936266385719549,1.82734690780846,2.58725752721863,0.44245584715171776,warehouse_multiple_shelves,0,1.9958537777205057,1.2583738296909146,-1,180,51.76127628092687,3,2,1,3,2,9,5,2,3,2,4,6,1,1,3,0,warehouse,0,97,0,-1,7.817899870455269,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886767552204112,0.2886800568936319,0.28867727124022485,122194,542686,71,157.53987725791023
dist_135,simulation_1,128,0,jpeg,33,1,2.6054600778985435,1.528644591720655,1.900664274425976,0.42794722323994255,warehouse_multiple_shelves,0,1.9131366446156672,0.7779571373726508,-1,180,74.1746216074274,2,3,1,1,2,18,5,1,2,3,4,28,1,2,2,0,warehouse,0,109,0,-1,7.620860499747187,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867701221384023,0.2886776096505458,0.28867703383497634,173035,548784,118,108.47353665721882
dist_136,simulation_1,128,0,jpeg,50,0,5.296684611595834,1.1788674772495975,1.7808136656511495,0.545420006309556,warehouse,0,1.8401841104549956,0.6750293561403798,-1,180,55.4013368797128,2,3,1,1,2,13,5,1,2,2,4,14,1,5,4,0,warehouse,0,111,0,-1,9.225113534773632,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886815477478812,0.2886750536998988,0.2886760306303007,126484,509896,78,149.52296017214314
dist_137,simulation_1,128,1,shot,53,2,8.336437490898625,0.11438900305679267,0.6951595388621791,0.3935825535745825,warehouse_multiple_shelves,8,2.9449819564106625,0.9617288716171206,-1,180,94.15754715670992,2,3,1,2,2,11,4,1,3,3,4,9,1,6,2,0,warehouse,0,80,0,-1,8.81685205089903,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886767244927534,0.2886768011786149,0.28867665943523,130319,65794,240,74.31030229132888
dist_138,simulation_1,128,0,gaussian_jpeg,88,2,9.057057792268804,1.0558561624249858,0.6408479474486756,0.2734343463684779,warehouse_multiple_shelves,9,4.424027231796454,0.5030160268554639,-1,180,66.14458416587064,3,2,1,1,2,18,4,2,3,3,2,6,3,4,1,0,warehouse,0,103,0,-1,8.419929460550026,0,1,0,nv_concrete_aged_with_lines.jpg,nv_tile_hexagonal_green_white.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886790896611496,0.28867556896299384,0.2886793063651837,130303,594125,494,61.1490665898372
dist_139,simulation_1,128,1,jpeg,71,2,11.494572538634019,0.16380370315178616,1.3854476626427608,0.3239864026576633,warehouse_multiple_shelves,6,4.270755530015071,0.4713475738334925,-1,180,66.7430021900885,5,2,1,2,2,14,5,1,1,2,3,2,1,4,4,0,warehouse,0,95,0,-1,9.60831976547851,0,1,0,nv_wooden_wall.jpg,nv_concrete_aged_with_lines.jpg,nv_granite_tile.jpg,1,0,1,0,0.5,0.5,0.5,0.28869630249254935,0.2886989829120308,0.28869749243995463,135439,542492,347,139.24163748791275
dist_140,simulation_1,128,0,shot,50,2,1.8548522682578659,1.2562600845088672,1.1290691221658014,0.4581644782715316,warehouse_multiple_shelves,10,1.331164838537256,1.7286239066627296,-1,180,90.61943027916573,2,2,1,1,2,9,3,2,4,3,4,14,1,5,2,0,warehouse,0,107,0,-1,9.347145329867491,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886757388314767,0.2886753102188012,0.2886778258938841,60809,117320,238,116.92101054357649
dist_141,simulation_1,128,1,shot_jpeg,69,3,3.485362481856412,1.418026783202097,1.9507780146083769,0.3833765186342361,warehouse_multiple_shelves,8,1.7215855483508558,0.379093055569204,-1,180,90.80119795847003,2,3,1,1,2,17,3,1,3,2,4,11,1,4,2,0,warehouse,0,112,0,-1,9.480599207262124,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867556304933245,0.28867610665670435,0.2886779461458849,120875,93163,416,147.92689747430202
dist_142,simulation_1,128,1,shot,69,2,6.160411570576818,0.32494720225147405,1.8462487798070617,0.4281636788364112,warehouse_multiple_shelves,9,1.6671604374295084,1.8895818812360898,-1,180,71.64484288680295,2,3,1,1,2,10,3,1,3,3,4,7,1,1,2,0,warehouse,0,98,0,-1,9.200174912657703,0,1,0,nv_concrete_aged_with_lines.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886789980844258,0.28867931358445376,0.28867638061367,118269,159185,351,69.70343634129458
dist_143,simulation_1,128,1,gaussian_jpeg,29,2,10.22381203572021,1.2792394830974978,3.0924693703321453,0.29319279255659414,warehouse_multiple_shelves,2,5.930374535923332,1.043318910989299,-1,180,35.523529159568,3,2,1,3,2,5,4,1,1,1,2,15,1,4,3,0,warehouse,0,104,0,-1,9.44661684673851,0,1,0,nv_concrete_aged_with_lines.jpg,nv_granite_tile.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867597559784747,0.28867759780790836,0.28867807991441863,171313,535362,260,144.3406971410953
dist_144,simulation_1,128,1,jpeg,41,2,9.278167421925422,0.19503514737430583,2.0818577191890877,0.11255641406226143,warehouse_multiple_shelves,9,3.1253760651668365,0.20897149342546362,-1,180,74.2944687568995,4,2,1,2,2,4,6,1,2,3,2,7,1,5,4,0,warehouse,0,87,0,-1,9.771786500147835,0,1,0,nv_marble.jpg,nv_granite_tile.jpg,,1,0,1,0,0.5,0.5,0.5,0.28869872153942655,0.2886965164695196,0.2886973774228208,126768,480903,328,110.87574081115898
dist_145,simulation_1,128,0,gaussian_jpeg,31,3,9.316588123876528,1.4732584755832983,3.515126484544017,0.325833331127174,warehouse_multiple_shelves,6,4.579085093485483,1.0913125158093506,-1,180,30.734790454759867,2,3,1,2,2,4,6,1,1,1,2,20,1,2,1,0,warehouse,0,103,0,-1,9.107730569387197,0,1,0,nv_concrete_aged_with_lines.jpg,nv_granite_tile.jpg,,1,0,1,0,0.5,0.5,0.5,0.28868032908547336,0.28867731310709954,0.2886792968395492,167496,469280,398,191.62112101828836
dist_146,simulation_1,128,1,shot,41,2,4.360905457561743,0.9563254966145108,1.2288536652833735,0.37549923262711105,warehouse_multiple_shelves,10,1.2473474907441757,0.6207169645963467,-1,180,91.71619396651151,2,4,1,1,2,22,2,1,2,3,4,4,1,1,2,0,warehouse,0,98,0,-1,9.361924986245311,0,1,0,nv_asphalt_yellow_weathered.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28868026916572126,0.288675312808499,0.2886763555221866,91218,117479,364,86.88391158526491
dist_147,simulation_1,128,0,jpeg,23,0,0.9832876507846642,1.8215941939843157,0.7098399628667528,0.5805175116218271,warehouse_multiple_shelves,1,4.165725293119773,0.4229986560116687,-1,180,65.74682094885824,2,3,1,1,2,18,6,1,2,2,4,13,1,3,3,0,warehouse,0,112,0,-1,7.898199074913682,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.28867599899924307,0.2886831790153472,0.28867621261076454,168922,478521,73,105.41619543495224
