distribution_id,simulation_type,n_samples,metadata.theta_background_id,metadata.theta_blur_sigma,metadata.theta_brightness_shift,metadata.theta_clutter_count,metadata.theta_color_shift_b,metadata.theta_color_shift_g,metadata.theta_color_shift_r,metadata.theta_noise_std
dist_48,simulation_1,32,2,0.10550099394210495,-0.2470042598485038,16,-0.10236907854225005,-0.21239890261570094,0.10832724439976463,0.28318916392266846
dist_49,simulation_1,32,1,2.605620054505937,0.0951531009308905,3,0.20070598272846155,0.1858101696705702,0.1642595840819069,0.41887364278693123
dist_50,simulation_1,32,0,0.4808977336141743,-0.18738188134080874,9,-0.20394767995338983,-0.14089051125997032,0.1342843783644165,0.1076777182310636
dist_51,simulation_1,32,0,0.7201759465033053,-0.26790853870632864,14,-0.1992263864475296,-0.17179232654311372,0.18125861130004023,0.1282375955464312
dist_52,simulation_1,32,1,1.6202068434700734,0.14165313686857575,7,0.2194279009886657,0.08788772585860229,0.18206935821346162,0.3879198518650155
dist_53,simulation_1,32,0,0.173572161986473,-0.13485249660698512,13,-0.19222112812483638,-0.10978930562931234,0.19325578602962593,0.07658209752031997
dist_54,simulation_1,32,1,1.3244422907353393,0.08631172594701082,2,0.17066473748140648,0.1999440733035585,0.14003820910592035,0.36588151475126063
dist_55,simulation_1,32,1,1.909867759750757,0.05235259506402649,3,0.14432310268241463,0.21424249724041788,0.1856785240905938,0.41941185735216646
dist_56,simulation_1,32,0,0.4960221364195061,-0.28977226707505227,12,-0.130022868627488,-0.13700654228797715,0.19731622879374427,0.09037364268971922
dist_57,simulation_1,32,1,2.9253239863302642,0.09231596109025028,5,0.2001215877493832,0.1350638828168904,0.1789997950072399,0.3698048229403642
dist_58,simulation_1,32,1,1.9290393879276502,0.04097747940235545,6,0.1317562644999057,0.14922496409572408,0.18746987863417824,0.3853590009904555
dist_59,simulation_1,32,0,0.9939809749100351,-0.33416733801292964,14,-0.19851418437034885,-0.044501234039034845,0.13401674751109877,0.019181595344354638
dist_60,simulation_1,32,1,0.2831064788342405,-0.22039173246883154,13,-0.11246609939708437,-0.05637093748557939,0.17075675292382436,0.02676189471112534
dist_61,simulation_1,32,1,0.2818019844028177,-0.29192351155416185,12,-0.09230416142486979,-0.09982493243530582,0.17567416210388315,0.02805482046811676
dist_62,simulation_1,32,0,0.8731927058351927,-0.1503094461446301,10,-0.19220436124505802,-0.10628209898680434,0.15963895807008355,0.018079909238078194
dist_63,simulation_1,32,0,1.9304405986255646,0.1214808504909378,4,0.20120483075705833,0.17170001004314245,0.13342201970625098,0.39183742045781095
dist_64,simulation_1,32,2,1.698072410996788,0.08169173939197026,5,0.15448215290592027,0.05744399356819045,0.17220258924385404,0.4166903291304175
dist_65,simulation_1,32,0,0.6488057279491043,-0.3181687984054712,8,-0.21711617278055412,-0.10388598993871867,0.07729483935976118,0.051065315382169074
dist_66,simulation_1,32,0,1.4751052238067395,-0.27055418073787485,10,-0.20222332414104438,-0.12326986172919976,0.14117327368125254,0.008411163856747988
dist_67,simulation_1,32,0,0.8168372064355711,-0.26423742167256853,11,-0.16302572072277088,-0.19448137962279005,0.19131332128292747,0.011003627920398235
dist_68,simulation_1,32,0,0.8349274680976217,-0.30249059464223277,12,-0.1930663844810741,-0.14987232477353746,0.12148610286522411,0.06692678207505304
dist_69,simulation_1,32,0,0.712604801195029,-0.20553847620866375,13,-0.11236602334043604,0.009460090378060407,0.16503916422983678,0.007093103332535402
dist_70,simulation_1,32,0,0.31355268879164044,-0.22923276113125257,12,-0.21128707321504855,-0.09683602676824074,0.09634417026757398,0.018728823545525033
dist_71,simulation_1,32,0,0.7086556465090308,-0.32702824066675207,11,-0.19789128306433165,-0.1039215781716366,0.15587281863217708,0.07969432195134749
dist_72,simulation_1,32,0,0.2522100613155972,-0.2520674772222185,16,-0.196825084327582,-0.10710843960524936,0.17981399934159348,0.007448799294478324
dist_73,simulation_1,32,1,0.4611739343581274,-0.23365735234500556,11,-0.19521066152146166,-0.1380792317267814,0.20302479036439552,0.012501599279000776
dist_74,simulation_1,32,1,0.12748256087455356,-0.13168710054709182,9,-0.1659262051928526,-0.09036341595295226,0.13781678559505636,0.02774825360508227
dist_75,simulation_1,32,2,0.33701877407569963,-0.21096047640693844,17,-0.026751257741224665,-0.17821170585654306,0.04053047713159086,0.30746441075209263
dist_76,simulation_1,32,0,1.7922461318026555,0.05495787169984155,2,0.2152977708236341,0.08996243778388589,0.20856784086893365,0.40005155190796593
dist_77,simulation_1,32,0,0.5778282543055961,-0.33115471746597874,7,-0.2035931444257368,-0.0320338615652789,0.08514032285976778,0.01817508318294473
dist_78,simulation_1,32,0,1.1157005203670805,-0.26432909804493954,10,-0.16050106516081936,-0.10974306851448887,0.1485589452638545,0.021698199767621145
dist_79,simulation_1,32,0,0.3249836468947672,-0.3344117009699867,15,-0.20994480356261977,-0.09563049490860284,0.15269554887583156,0.06985813142484713
dist_80,simulation_1,32,2,0.12558509323739286,-0.2999528518390565,15,-0.06065012397839286,-0.21399479211202393,0.08908076400603673,0.29902216949448035
dist_81,simulation_1,32,2,0.5534207894894183,-0.3311250712201127,14,-0.1513121196553155,-0.1415475864182562,0.030916914121070938,0.25072836463206777
dist_82,simulation_1,32,1,2.3411419372489934,0.02333097678090273,3,0.20057832962411673,0.13694117774039022,0.18779699046182816,0.3423142705324081
dist_83,simulation_1,32,2,2.3976530091870756,-0.02612602637111569,4,0.21047469001019256,0.17942758756620844,0.15917332364921252,0.34999785082669105
dist_84,simulation_1,32,1,0.39689476981544464,-0.2278853311987601,11,-0.20123149507820515,-0.05978078477649111,0.144822424595399,0.001320859931936126
dist_85,simulation_1,32,0,0.7233662726786781,-0.1960880871628563,10,-0.17454127579686457,-0.0618389456799251,0.16849974651323535,0.03376779058957593
dist_86,simulation_1,32,0,0.5935517720564091,-0.23779212215418627,14,-0.21673591257960276,0.0015839660447736076,0.17378636709362444,0.01157741206450391
dist_87,simulation_1,32,3,0.4162465096772666,-0.31071467371382905,13,-0.03809224274895603,-0.2008765984259252,0.0816041714819351,0.296511413590449
dist_88,simulation_1,32,0,0.39667249674987304,-0.34931031274328483,9,-0.19081468304351773,-0.0952616225760661,0.05469515273259891,0.05092924764822975
dist_89,simulation_1,32,2,2.7933421345401452,0.01163205067207753,4,0.14454786566241268,0.1534049364396561,0.1894813193976352,0.3684211480669944
dist_90,simulation_1,32,1,1.6181920728131005,0.10803881766070797,2,0.11129566408166987,-0.018455906734104105,0.1727601282053064,0.40641075709403673
dist_91,simulation_1,32,1,0.6997139486004417,-0.3290764803360879,12,-0.1736028869334132,-0.11124961662681299,0.029208436754455946,0.042345338507070014
dist_92,simulation_1,32,0,0.9392191896344041,-0.3377124150597749,10,-0.20441509702079164,-0.05501567971995816,0.1730405909299697,0.05416881979809867
dist_93,simulation_1,32,0,0.1519835041908417,-0.3485034658567299,11,-0.14582549921488583,0.012867051729654452,0.15556638653004265,0.028264048483505496
