distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_noise_std_mean,metadata.synth_metadata_mean_std_synth_noise_std_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3,metadata.image_min,metadata.synth_metadata_mean_std_synth_texture_4,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_motion_blur_mean,metadata.synth_metadata_mean_std_synth_motion_blur_std,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence
dist_135,simulation_1,128,0,28,8,0.21086539563907714,0.3917663243024824,2.438843832630825,0.43294091928216,0,0,0,-1,2,6.140240353406887,5.971913495613654,0,1,-10,2.345368641857366,pinhole,180,97.72568371032585,2.2308827918170633,gaussian,-1,86,0,3,warehouse_multiple_shelves,0,111,8.791194958570784,6,2.309401035308838,nv_tile_hexagonal_various.jpg,nv_gravel_grey_leaves.jpg,,0.011556332267964747,,1,0,1,0,130307,250030,293,47.295582902991086,0.2789809857431457,0.45703492657385253,2.027457343551372,0.8534655938891105,1,0,2,1,2,2,1,1,2,2,3,2,1,2,1,2,2
dist_136,simulation_1,128,1,22,4,0.22698336889789705,0.02862790267725575,2.3161024529281846,0.3431140359741412,0,0,0,-1,2,5.43559153450127,7.883089313049742,0,3,-6,4.158806289048989,pinhole,180,94.47015828011747,2.779894069000738,shot_jpeg,-1,34,3,3,warehouse_multiple_shelves,0,77,7.136582899682984,6,2.309401035308838,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,nv_concrete_aged_with_lines.jpg,0.13018633040426067,,1,0,1,0,125571,551132,494,247.41660503662735,0.2716910251485336,0.48535367626928944,2.3971031567170846,0.8361547076183767,1,0,2,1,4,2,1,1,2,3,4,2,2,2,1,1,2
dist_137,simulation_1,128,1,19,4,0.660370429955993,0.37278243042089815,1.5926321580995295,0.3641092972931581,0,0,0,-1,2,3.8188330353467483,9.717327762712227,0,0,-16,5.388855801220714,pinhole,180,105.1521730817559,1.7446068087396502,shot_jpeg,-1,30,1,2,warehouse_multiple_shelves,0,50,5.10743428068423,6,2.309401035308838,nv_rubber_woven_charcoal.jpg,nv_gravel_grey_leaves.jpg,nv_concrete_aged_with_lines.jpg,0.06673034255726859,,1,0,1,0,111541,485141,391,271.10553424537056,0.23066523571818562,0.4950969397272999,2.374649979584655,0.7030273803093422,1,0,2,1,5,2,1,1,2,2,2,2,3,3,2,1,2
dist_138,simulation_1,128,0,34,8,1.0478191874833518,0.2573760033393554,2.1758824766871214,0.5829763865083003,0,0,0,-1,2,5.382607413227987,9.754241062520494,0,2,-14,5.331105060930256,pinhole,180,96.89738042670447,0.54609851434575,gaussian_jpeg,-1,69,1,3,warehouse,0,65,9.444370337581061,6,2.309401035308838,nv_asphalt_yellow_weathered.jpg,nv_concrete_aged_with_lines.jpg,,0.10244079340684699,,1,0,1,0,110871,219547,354,259.9129948629852,0.2825995348556792,0.388214074826022,2.085485777256181,0.7486782267893991,1,0,4,1,3,3,1,2,2,3,3,2,3,2,1,1,2
dist_139,simulation_1,128,0,30,8,1.283536917718341,0.35348736955617305,3.1113868794277115,0.3189517376308541,0,0,0,-1,2,5.646211047712127,7.986943813160087,0,0,-13,1.9165890700094732,pinhole,180,88.40020977704846,0.35618765472824543,gaussian,-1,95,1,2,full_warehouse,0,103,8.009047393180587,6,2.309401035308838,nv_marble.jpg,nv_tile_square_green.jpg,,0.04546451561487717,,1,0,1,0,87702,513413,119,11.483853198691973,0.2831495749792109,0.5072053294086357,2.2356975789131717,0.5737742344240682,1,0,2,1,3,2,1,1,2,2,2,2,1,3,1,2,2
dist_140,simulation_1,128,0,30,10,0.36286521946880634,0.07237032128997775,1.2529836508517238,0.2540150123852445,0,0,0,-1,2,4.137825120005781,9.727315651340852,0,0,-13,3.650764657721381,pinhole,180,101.61232243543836,1.91592387321112,gaussian,-1,89,0,2,full_warehouse,0,109,7.6511496858118235,6,2.309401035308838,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,,0.07344975538076581,,1,0,1,0,136405,367091,54,63.67781629606134,0.27157373060973006,0.5397243854289403,1.95576747317629,0.7927104507411219,1,0,3,1,3,2,1,1,2,2,2,2,1,2,1,2,2
dist_141,simulation_1,128,0,35,10,4.413024387719663,0.12857548338885505,2.821755783148734,0.368939775678489,0,0,0,-1,2,5.943260212805243,7.4091753188627685,0,3,-14,1.8691731875656517,pinhole,180,86.5442936829214,2.9351619429532567,gaussian,-1,81,1,2,full_warehouse,0,103,9.333646897061271,6,2.309401035308838,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,,0.07987877995722435,,1,0,1,0,86294,130838,23,49.155302814882276,0.2442718828690283,0.285384814293389,2.146046757998537,0.6072841599887429,1,0,2,1,2,2,1,1,2,2,4,2,1,2,1,1,2
dist_142,simulation_1,128,1,19,4,1.5974502759714286,0.3159960538734751,1.3181676429681766,0.36654816151827546,0,0,0,-1,2,4.756490202686275,9.691541314925685,0,2,-13,3.756243625313922,pinhole,180,94.85335429865572,2.1674819247306183,gaussian_jpeg,-1,44,3,2,warehouse_multiple_shelves,0,95,4.528226882611765,6,2.309401035308838,nv_rubber_woven_charcoal.jpg,nv_stone_painted_grey.jpg,nv_tile_square_green.jpg,0.1201433650798595,,1,0,1,0,106214,437767,336,160.26481660389928,0.2877059168078638,0.5004274093415424,2.190524834457279,0.7452703334988037,1,0,3,1,4,2,1,1,2,2,4,2,2,2,1,1,2
dist_143,simulation_1,128,1,22,5,0.8503127677786293,0.23463539554241528,1.0293591306442427,0.34179612512499274,0,0,0,-1,2,4.497427303452876,7.05317455882674,0,3,-11,4.87855728169045,pinhole,180,84.45151530348744,1.4371748738249406,shot_jpeg,-1,25,3,3,warehouse_multiple_shelves,0,109,3.1813621273509054,6,2.309401035308838,nv_rubber_woven_charcoal.jpg,nv_gravel_grey_leaves.jpg,nv_concrete_aged_with_lines.jpg,0.08666490578636747,,1,0,1,0,83425,543798,461,257.62043190107215,0.27655454478253955,0.48866471110146686,2.4374663433118826,0.8191022105968547,1,0,3,1,3,2,1,1,2,2,4,2,1,3,1,1,2
dist_144,simulation_1,128,1,18,4,0.49694018777074345,0.7284410226605933,1.9390577496005499,0.21549063891993842,0,0,0,-1,2,5.533919016615124,6.839557658476637,0,1,-21,5.11007699147466,pinhole,180,105.2813501126108,3.298197778357111,shot_jpeg,-1,43,3,2,warehouse_multiple_shelves,0,82,5.38837569072232,6,2.309401035308838,nv_rubber_woven_charcoal.jpg,nv_gravel_grey_leaves.jpg,nv_concrete_aged_with_lines.jpg,0.05283610388982251,,1,0,1,0,98769,436270,441,287.9429563470586,0.2514257458231083,0.4985131963278281,2.3287208073062504,0.6829570323919889,1,0,2,1,2,3,1,1,2,2,2,2,1,3,1,1,2
