distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_noise_std_mean,metadata.synth_metadata_mean_std_synth_noise_std_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3,metadata.image_min,metadata.synth_metadata_mean_std_synth_texture_4,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_motion_blur_mean,metadata.synth_metadata_mean_std_synth_motion_blur_std,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence
dist_234,simulation_1,128,0,35,9,1.4426848260777885,0.022020008825392463,1.8135009951118024,0.4093993058247611,0,0,0,-1,2,4.412404984714212,8.391668549835186,0,0,-11,4.945066743289224,pinhole,180,104.68361067663344,2.4662136303688698,gaussian,-1,70,1,3,full_warehouse,0,91,8.315647798360303,6,2.309400955476311,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,nv_gravel_grey_leaves.jpg,0.022847948972973514,,1,0,1,0,68983,434917,188,71.60920298163076,0.2585583869667634,0.5088203307738074,2.268826083145781,0.5754552957592636,1,0,2,1,2,3,1,1,2,2,2,2,1,2,1,3,2
dist_235,simulation_1,128,0,35,10,1.581162154357529,0.2361001809665603,2.064477446297711,0.3482382053682575,0,0,0,-1,2,4.62647463345169,7.922519554166213,0,2,-12,3.7878269382112846,pinhole,180,57.98019278775747,2.7652479619652626,gaussian,-1,95,0,2,full_warehouse,0,89,5.009312738689844,6,2.309400573979653,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,nv_tile_square_green.jpg,0.038124417742132315,,1,0,1,0,75417,295468,425,284.3609096900724,0.277852662683678,0.3804729476165457,2.411720367560851,0.7257175145091406,1,0,2,1,3,2,1,1,2,3,3,2,4,2,1,3,2
dist_236,simulation_1,128,0,31,8,1.8322667412823725,0.09648122435722327,1.5639506434626167,0.2816753236047437,0,0,0,-1,2,4.29301877698349,7.840215894079424,0,1,-17,4.038070510292972,pinhole,180,108.33487088165738,4.664810763463986,gaussian,-1,77,0,4,full_warehouse,0,53,6.704962362460261,6,2.3094008185202264,nv_marble.jpg,nv_marble.jpg,,0.044271331928774554,,1,0,1,0,108673,189605,461,270.6850786493389,0.22498584513461928,0.4346068412674085,2.0649495022475164,0.7658761802300511,1,0,2,1,2,2,1,2,2,3,2,2,5,2,1,1,2
dist_237,simulation_1,128,0,29,7,3.8113981415603932,0.00888609039490662,2.757836757941626,0.15596324039472248,0,0,0,-1,2,6.16103331032986,9.312182040730526,0,1,-6,0.7808402936812042,pinhole,180,64.90400369512133,1.9992763035756642,gaussian,-1,70,1,3,full_warehouse,0,77,5.380452055011766,6,2.309400105676147,nv_brick_red_stacked.jpg,nv_brick_reclaimed.jpg,,0.12227081048252192,,1,0,1,0,74796,89576,441,204.9914555455214,0.23638775699425402,0.3658266733620009,2.433245449476425,0.7428645845062282,1,0,4,1,3,2,2,2,2,5,3,2,5,3,1,1,2
dist_238,simulation_1,128,0,29,10,2.178455052790892,0.3412588404832898,0.6560055076267282,0.5646211546351247,0,0,0,-1,2,4.407253542845523,5.080793182878447,0,1,-11,4.2603436555013,pinhole,180,94.5918152771309,0.11511682310188676,gaussian,-1,94,1,2,full_warehouse,0,86,8.367835417308795,6,2.309400082018141,nv_concrete_aged_with_lines.jpg,nv_stone_painted_grey.jpg,,0.11931924335917798,,1,0,1,0,106391,390296,307,61.74236418645758,0.21839031053134442,0.2756769044013374,2.3346320044009863,0.8614862511208594,1,0,2,1,4,3,2,1,2,2,4,2,2,2,2,1,2
dist_239,simulation_1,128,0,33,9,9.16664349355791,0.24690076815813503,2.8444026419396358,0.16959707230826115,0,0,0,-1,2,4.771750835443229,8.226438180146637,0,0,-8,2.2526559150976633,pinhole,180,86.607011584455,1.663581516592403,gaussian,-1,73,1,3,full_warehouse,0,80,8.22892290602986,6,2.3094002575579724,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.05710566082050558,,1,0,1,0,91134,369733,376,230.6350593547141,0.24443854178951852,0.42494736287908635,2.1876702567526713,0.5566167206760303,1,0,3,1,3,2,1,1,2,5,3,2,5,2,2,1,2
dist_240,simulation_1,128,0,34,10,4.262915726566708,0.061810532419331154,2.5346076826952384,0.22191952686409078,0,0,0,-1,2,5.115824561566563,5.321928458555638,0,1,-7,5.411294758575817,pinhole,180,89.61916745825485,3.0017575918628627,gaussian,-1,90,1,4,full_warehouse,0,73,5.780564819857261,6,2.309400312279697,nv_brick_red_stacked.jpg,nv_tile_square_green.jpg,,0.06675204235690094,,1,0,1,0,101055,385153,387,231.2192046082518,0.2817843385843079,0.4022665968114124,1.8536636763633747,0.6103143745414534,1,0,4,1,3,3,1,1,2,4,2,2,4,3,2,1,2
dist_241,simulation_1,128,0,34,8,2.4627771441947344,0.25027441322775135,1.7703813491577889,0.0814082509650258,0,0,0,-1,2,5.292822448845926,9.622936775850182,0,3,-9,1.373807240075544,pinhole,180,104.38666416924522,1.8185242104588626,gaussian,-1,66,2,4,full_warehouse,0,41,5.904645692419533,6,2.309400274030628,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.2202711000994432,,1,0,1,0,42685,389753,420,159.19818372109404,0.23993615110813382,0.41632647920869226,2.038467677789138,0.6100140241313088,1,0,3,1,4,3,1,1,2,5,2,2,4,2,1,1,2
dist_242,simulation_1,128,0,35,10,5.905681312629659,0.32217742769058877,3.3634896020215166,0.13092128225189234,0,0,0,-1,2,5.76295010227044,8.44845055436233,0,0,-9,1.6159924785216466,pinhole,180,102.072435475667,1.5108831023811524,gaussian,-1,99,1,3,warehouse_with_forklifts,0,63,5.5856966791555855,6,2.309400166089404,nv_brick_red_stacked.jpg,nv_marble.jpg,,0.017895150999212538,,1,0,1,0,86791,139929,464,261.69195232867133,0.2732018372316115,0.4280414029944844,1.6505443372094097,0.49236336620462023,1,0,3,1,2,2,1,1,2,5,3,2,4,3,1,1,2
dist_243,simulation_1,128,1,34,10,5.749926282771511,1.1837676211999821,1.5659432631074381,0.1568037281558727,0,0,0,-1,2,2.4900424833728203,6.945465201059047,0,0,-8,2.0300661741925494,pinhole,180,88.85058657662282,3.1444571650978963,gaussian,-1,71,2,3,full_warehouse,0,79,3.874752826095814,6,2.309400105185928,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.013186734915657078,,1,0,1,0,86647,370666,462,197.80499487294935,0.227783216607483,0.4382973833843976,2.1912038229987862,0.6603084116634278,1,0,2,1,4,2,1,1,2,5,4,2,4,2,1,1,2
dist_244,simulation_1,128,0,35,9,4.415932390780935,0.023236659581177294,2.8375652128528923,0.2713927825804896,0,0,0,-1,2,5.523567053120406,5.325915366125642,0,1,-12,1.6876273753735274,pinhole,180,70.50160123261409,1.8974539213443409,gaussian,-1,58,1,3,full_warehouse,0,63,4.170322031055621,6,2.30940010644216,nv_brick_red_stacked.jpg,nv_gravel_grey_leaves.jpg,,0.07496268591577136,,1,0,1,0,105647,199161,345,222.5342744605132,0.2811546484753825,0.4845798759851281,2.213995478503316,0.5570607359604514,1,0,2,1,4,3,1,1,2,3,2,2,2,2,1,1,2
dist_245,simulation_1,128,0,32,8,1.7498629191867536,0.17649240631697774,2.2538819930973366,0.09902102217508019,0,0,0,-1,2,4.2837608563647285,8.210827833618712,0,2,-10,1.1239968620096314,pinhole,180,101.94507881775588,2.3790974579581605,jpeg,-1,86,0,5,full_warehouse,0,62,7.3781702463103205,6,2.3094001008671166,nv_wooden_wall.jpg,nv_gravel_grey_leaves.jpg,,0.11753182166335928,,1,0,1,0,76348,307601,490,204.705876620314,0.2636063398366687,0.5113898107544295,2.357618067297922,0.7990221893715163,1,0,5,1,3,2,1,1,2,3,3,2,4,2,2,1,2
