distribution_id,simulation_type,n_samples,metadata.synth_metadata_synth_camera_height_min,metadata.synth_metadata_synth_fov_min,metadata.synth_metadata_synth_lighting_intensity_mean,metadata.synth_metadata_synth_lighting_intensity_std,metadata.synth_metadata_synth_materials_roughness_min,metadata.synth_metadata_synth_noise_std_min,metadata.synth_metadata_synth_num_additional_distractors,metadata.synth_metadata_synth_num_objects,metadata.synth_metadata_synth_num_warehouse_distractors,metadata.synth_metadata_synth_palletjack_count_per_model,metadata.synth_metadata_synth_palletjack_rotation_max_z,metadata.synth_metadata_synth_texture_1,metadata.synth_metadata_synth_texture_2,metadata.synth_metadata_synth_texture_3,metadata.synth_metadata_synth_motion_blur_min,metadata.synth_metadata_synth_distractors,metadata.synth_metadata_synth_texture_10,metadata.synth_metadata_synth_texture_4,metadata.synth_metadata_synth_texture_5,metadata.synth_metadata_synth_texture_6,metadata.synth_metadata_synth_texture_7,metadata.synth_metadata_synth_texture_8,metadata.synth_metadata_synth_texture_12,metadata.synth_metadata_synth_texture_11,metadata.synth_metadata_synth_palletjack_color_randomized,metadata.synth_metadata_synth_texture_9,metadata.synth_metadata_synth_camera_height_max,metadata.synth_metadata_synth_fov_max,metadata.synth_metadata_synth_materials_roughness_max,metadata.synth_metadata_synth_noise_std_max,metadata.synth_metadata_synth_motion_blur_max
dist_262,simulation_1,128,0.7467169041021325,51,136286,387307,0.39146423960707466,3,34,5,31,2,360,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.6734209988336192,warehouse,,nv_tile_square_green.jpg,nv_wood_shingles_brown.jpg,nv_stone_painted_grey.jpg,nv_rubber_woven_charcoal.jpg,,,,1,,1.3803999423980713,92,0.6880627609506069,4,1.668583738715247
dist_263,simulation_1,128,0.8575483889481543,56,114671,548417,0.24325793805773918,1,34,2,31,2,360,nv_marble.jpg,nv_granite_tile.jpg,nv_tile_hexagonal_various.jpg,0.547438868557733,warehouse,nv_plastic_blue.jpg,nv_tile_hexagonal_green_white.jpg,nv_tile_square_green.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_brick_reclaimed.jpg,,,1,nv_gravel_grey_leaves.jpg,1.3803999423980713,84,0.6900029037041527,4,1.8950139042973002
dist_264,simulation_1,128,0.6185850831719247,57,85247,576685,0.1403828117146218,3,34,4,31,2,360,nv_granite_tile.jpg,nv_rubber_woven_charcoal.jpg,nv_bamboo_desktop.jpg,0.4860938082849613,warehouse,nv_plastic_blue.jpg,nv_tile_square_green.jpg,nv_asphalt_yellow_weathered.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_brick_reclaimed.jpg,,,1,nv_brick_reclaimed.jpg,1.3803999423980713,72,1.0,6,2.0
dist_265,simulation_1,128,0.7649768806876148,60,125520,486693,0.45738190455972905,3,34,6,31,2,360,nv_marble.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.8853578637588785,additional,,nv_brick_red_stacked.jpg,nv_wood_shingles_brown.jpg,nv_plastic_blue.jpg,nv_carpet_abstract_pattern.jpg,,,,1,,1.3803999423980713,97,0.8596723553131949,6,2.0
dist_266,simulation_1,128,0.8245093529849654,65,96266,519406,0.07245630702197123,1,34,3,31,2,360,nv_granite_tile.jpg,nv_gravel_grey_leaves.jpg,nv_carpet_abstract_pattern.jpg,0.9343087371318697,warehouse,,nv_fabric_square_grid.jpg,nv_asphalt_yellow_weathered.jpg,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_brick_red_stacked.jpg,,,1,nv_brick_red_stacked.jpg,1.3803999423980713,100,0.2345999926328659,6,1.0462491841845496
dist_267,simulation_1,128,0.642347448558914,54,107975,382983,0.42045550832257983,3,34,5,31,2,360,nv_asphalt_yellow_weathered.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.8305361419765329,warehouse,,nv_tile_hexagonal_green_white.jpg,nv_asphalt_yellow_weathered.jpg,nv_plastic_blue.jpg,nv_wood_siding_weathered_green.jpg,nv_gravel_grey_leaves.jpg,,,1,nv_plastic_blue.jpg,1.878083999222234,99,0.9167297737034235,5,1.544970015959269
dist_268,simulation_1,128,0.9072906364527946,52,125133,317841,0.37244732841072425,2,34,5,31,2,360,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.5654313281722885,warehouse,nv_brick_red_stacked.jpg,nv_tile_hexagonal_green_white.jpg,nv_brick_red_stacked.jpg,nv_plastic_blue.jpg,nv_wood_siding_weathered_green.jpg,nv_carpet_abstract_pattern.jpg,,,1,,1.9942033593996613,98,0.69860624594138,3,1.3093672916739967
dist_269,simulation_1,128,0.6831449788609428,54,113889,385968,0.38602592976082084,3,34,6,31,2,360,nv_concrete_aged_with_lines.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.858124912976882,warehouse,,nv_tile_hexagonal_green_white.jpg,nv_wood_shingles_brown.jpg,nv_wood_siding_weathered_green.jpg,nv_stucco_smooth_blue.jpg,nv_carpet_abstract_pattern.jpg,,,1,,1.3803999423980713,99,0.9162449659929133,5,1.6606512651715288
dist_270,simulation_1,128,0.7321120012747896,56,119176,464954,0.38915774146732335,2,34,6,31,2,360,nv_marble.jpg,nv_bamboo_desktop.jpg,nv_carpet_abstract_pattern.jpg,0.7431709992237154,warehouse,nv_brick_reclaimed.jpg,nv_wood_shingles_brown.jpg,nv_wood_shingles_brown.jpg,nv_plastic_blue.jpg,nv_wood_siding_weathered_green.jpg,nv_wooden_wall.jpg,,,1,,1.3803999423980713,97,1.0,3,1.6275728685437856
dist_271,simulation_1,128,1.4055477936782024,50,141633,430580,0.38631996101140587,3,34,4,31,2,360,nv_marble.jpg,nv_rubber_woven_charcoal.jpg,nv_carpet_abstract_pattern.jpg,0.8975991252614459,warehouse,,nv_tile_hexagonal_green_white.jpg,nv_wood_siding_weathered_green.jpg,nv_carpet_abstract_pattern.jpg,nv_wood_siding_weathered_green.jpg,nv_carpet_abstract_pattern.jpg,,,1,nv_brick_reclaimed.jpg,3.3744068195997574,91,0.9625329763063835,4,1.744438884933694
