distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_instances,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_instances,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_instances,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_instances,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_distractor_position_mean_x,metadata.synth_metadata_mean_std_synth_distractors,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_lighting_color_mean_b,metadata.synth_metadata_mean_std_synth_lighting_color_mean_g,metadata.synth_metadata_mean_std_synth_lighting_color_mean_r,metadata.synth_metadata_mean_std_synth_lighting_color_std_b,metadata.synth_metadata_mean_std_synth_lighting_color_std_g,metadata.synth_metadata_mean_std_synth_lighting_color_std_r,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std
dist_70,simulation_1,128,0,jpeg,25,0,3.2165837161792665,1.088345911818731,2.0871666161036706,0.5484837698594134,warehouse_multiple_shelves,4,1.7392149302934437,0.2097156593810884,-1,180,41.78230077728686,3,3,1,1,2,8,4,1,1,3,4,8,1,2,3,0,warehouse,0,89,0,-1,6.727786806126589,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,155802,559204,77,172.0602725266353
dist_71,simulation_1,128,0,gaussian_jpeg,88,2,6.491160976243162,0.9428131773964091,1.18618417174834,0.21978285203655765,warehouse_multiple_shelves,8,5.924820013836032,0.48938411917140756,-1,180,25.37736620534124,2,3,1,1,2,19,5,2,2,3,2,5,3,2,2,0,warehouse,0,77,0,-1,9.476040030825398,0,1,0,nv_concrete_aged_with_lines.jpg,nv_granite_tile.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,180767,563532,482,27.63855923259574
dist_72,simulation_1,128,0,jpeg,22,0,1.8958271493087175,1.8266048364637373,0.7523434852199128,0.44719880642856286,warehouse_multiple_shelves,3,1.3608473241753924,0.6271374155332065,-1,180,55.248557354039974,2,2,1,1,2,20,6,1,1,2,4,8,1,2,3,0,warehouse,0,96,0,-1,8.275073701709516,0,1,0,nv_rubber_woven_charcoal.jpg,nv_gravel_grey_leaves.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,199917,474195,69,119.20660012243104
dist_73,simulation_1,128,0,shot_jpeg,30,0,5.230578455194213,1.3225633073500438,0.809424999121293,0.4890184876391738,warehouse_multiple_shelves,0,1.8037578638631409,0.3302253603731009,-1,180,46.72884667286833,2,3,1,1,2,19,5,1,1,2,4,3,1,2,3,0,warehouse,0,107,0,-1,7.764651855154939,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,155863,575326,143,193.40995893659996
dist_74,simulation_1,128,0,gaussian_jpeg,89,2,6.204622221897945,0.7652776316120338,0.6712354787739384,0.21611704356670888,warehouse_multiple_shelves,9,5.361078906935243,0.6462881961790486,-1,180,90.54292555945155,3,2,1,1,2,22,4,2,2,3,2,3,3,4,2,0,warehouse,0,97,0,-1,8.448321155379938,0,1,0,nv_concrete_aged_with_lines.jpg,nv_granite_tile.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,87756,410035,441,91.20525736527975
dist_75,simulation_1,128,1,jpeg,34,0,3.598773236105078,1.6274131216889292,1.6211793988973149,0.5673232973193166,warehouse_multiple_shelves,1,0.6902264278623951,1.1895268511017207,-1,180,50.071397581535514,2,3,1,2,2,10,4,1,1,2,4,17,2,2,3,0,warehouse,0,97,0,-1,7.887441874699359,0,1,0,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_granite_tile.jpg,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,104958,559658,110,200.68735181672355
dist_76,simulation_1,128,0,jpeg,37,0,0.7192108837680138,1.7262522140215053,1.8662143324483513,0.45600998838570034,warehouse_multiple_shelves,2,1.3915397489819346,0.47109545263524855,-1,180,65.56752032075887,2,3,1,1,2,11,4,1,2,2,4,4,1,3,3,0,warehouse,0,105,0,-1,9.06825098499748,0,1,0,nv_concrete_aged_with_lines.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,130789,505579,74,87.72014633437004
dist_77,simulation_1,128,0,jpeg,27,0,5.205588745687549,1.4326119676121563,2.524553719593621,0.5715890081409511,warehouse_multiple_shelves,0,2.763993741869733,0.5947432883785166,-1,180,33.24482825028957,3,2,1,2,2,14,4,1,1,2,4,8,1,6,3,0,warehouse,0,110,0,-1,7.904927314178109,0,1,0,nv_rubber_woven_charcoal.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,76510,488409,86,171.3330902785103
dist_78,simulation_1,128,0,gaussian_jpeg,74,2,6.4354316303187735,0.7544376673199539,1.14173289997094,0.30330671762459094,warehouse_multiple_shelves,8,4.483716131715498,0.3462553498341271,-1,180,69.55832011567743,3,3,1,1,2,21,4,2,2,3,2,3,2,1,2,0,warehouse,0,89,0,-1,7.25428460302439,0,1,0,nv_asphalt_yellow_weathered.jpg,nv_gravel_grey_leaves.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,88717,407031,436,39.861035450559456
dist_79,simulation_1,128,0,jpeg,35,0,5.682981420591638,1.6358782973575599,1.4861914916515642,0.4923087034305331,warehouse_multiple_shelves,0,3.4014136038527267,0.4449620603682166,-1,180,66.39036071033206,2,4,1,1,2,14,3,1,1,3,4,12,1,1,2,0,warehouse,0,91,0,-1,7.289047338163683,0,1,0,nv_plastic_blue.jpg,nv_concrete_aged_with_lines.jpg,,1,0,1,0,0.5,0.5,0.5,0.2886750102043152,0.2886750102043152,0.2886750102043152,106284,445981,74,126.39908643051565
