distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence,metadata.synth_metadata_mean_std_synth_distractor_scale_mean,metadata.synth_metadata_mean_std_synth_distractor_scale_std,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_focal_length_std,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_motion_blur_mean,metadata.synth_metadata_mean_std_synth_motion_blur_std,metadata.synth_metadata_mean_std_synth_noise_std_mean,metadata.synth_metadata_mean_std_synth_noise_std_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3
dist_244,simulation_1,128,1.2923183768354787,0.13586209132411775,0,0,0,-1,2,4.039832106471838,8.515376869156793,0,1,-7,3.1470888472691603,pinhole,180,97.21997840651966,0.05465968274156119,1,23,4,jpeg,88,0,2.793657975354756,0.07324617771304154,2,3,3,4,1,2,2,1,4,2,1,1,2,2,1,2,1.25,0.14432931079299513,warehouse_with_forklifts,0,96,4.422729554575417,0,0.9964877430491949,0.002012466024484641,1.073892973478166,0.009863096708977063,1.0079840046224129,0.01375013583016571,97.5,1.443379336245065,131568,417906,220,227.12551709580123,0.43248780240615475,0.26687071478623603,2.0260021905126426,0.5480572238199181,6,2.3094001400234108,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg
dist_245,simulation_1,128,1.5405829475729702,0.19726704934732767,0,0,0,-1,2,4.9224928665106225,6.010565641015363,0,1,-6,1.850619332804023,pinhole,180,92.00603575728286,2.294510565483873,0,35,10,gaussian,73,0,2.926447315176822,0.3756218952764971,2,4,2,3,1,2,2,3,2,2,1,1,1,2,1,2,1.25,0.14433551131852837,full_warehouse,0,53,4.370286177864184,0,1.0449523589530132,0.007426439974307765,1.006316715494956,0.00428213000166725,1.0182984461608613,0.01762702503023128,97.5,1.4433791182484121,205901,252521,67,44.43038008848748,0.3029471802951415,0.15208839770012778,0.7133375272440661,0.007963758056632325,6,2.3094009592483338,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_granite_tile.jpg
dist_246,simulation_1,128,0.9355980007179844,0.28392305670657747,0,0,0,-1,2,3.6649108128170615,6.482468419975,0,2,-19,5.5055626060611145,pinhole,180,85.64436796050285,0.5488981500739343,1,27,6,gaussian_jpeg,97,0,8.367060747854975,1.4524616814023559,3,4,3,2,1,2,3,2,2,2,1,1,1,2,1,2,1.25,0.1443351071723423,warehouse,0,69,6.993084430860706,0,0.9576924727680403,0.0010981665485971276,1.034443367267801,0.008055218748956879,1.0000412463930894,0.0005277096588805121,97.5,1.443379436681601,90642,310191,22,48.23773584690742,0.4154771004269146,0.21371973941600572,0.8709933239833311,0.3522916713575686,6,2.3094008779745,nv_concrete_aged_with_lines.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg
dist_247,simulation_1,128,1.9517225537089338,0.7731270507479372,0,0,0,-1,2,5.380829481605997,6.408320809981504,0,2,-5,2.647802046831642,pinhole,180,93.24978376090432,2.2517104429349364,0,29,6,shot,63,3,9.855765277826361,0.7691099251152927,3,3,3,2,1,2,2,5,4,4,1,2,2,2,2,2,1.25,0.14430770105853963,full_warehouse,0,84,4.469949391845155,0,0.9104400679585105,0.004647459508662856,0.987488195218947,0.00015068211056342372,0.9779497616219404,0.013908211495951159,97.5,1.4433906499086637,191637,99304,428,223.20035782659755,0.45308454621806044,0.16094793862804496,2.398440716523604,0.7266560986565537,6,2.3094009023883926,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,
dist_248,simulation_1,128,1.0550206138206075,0.11076148763366517,0,0,0,-1,2,6.153960733411416,5.849981701900453,0,0,-18,3.9184149303654348,pinhole,180,93.28372934211473,0.5696671946485038,1,22,6,jpeg,77,0,3.3090873893960513,0.26679520275440444,3,2,2,6,1,2,2,2,4,2,1,2,2,2,2,2,1.25,0.1443365446301395,warehouse_with_forklifts,0,74,5.051954325655723,0,0.9622210621365845,0.009469000943351121,0.9758470679261164,0.0008043778457523364,1.0359946760095111,0.008760558709974423,97.5,1.4433765732006532,152829,475991,358,87.53816297520105,0.5017228508615268,0.27765858123406767,1.8365723488819448,0.5277479353641839,6,2.3094000869955216,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg
dist_249,simulation_1,128,3.318549801175645,0.6505917834041466,0,0,0,-1,2,5.454128674762177,6.962401449883343,0,3,-11,3.3874975551315165,pinhole,180,66.49007768939283,1.1244351548359253,0,35,8,gaussian,98,0,2.0495445732398005,0.13035605520918617,2,3,2,3,1,2,3,4,2,2,1,1,1,2,1,2,1.25,0.14433767459546976,warehouse_multiple_shelves,0,69,4.371022476114855,0,1.0265831360884445,0.010218843892626783,0.9731509791803287,0.0007324606670532669,0.9556996479577371,0.004286892720609958,97.5,1.4433784207945646,216514,157618,239,45.99739683570425,0.389936475318041,0.12588805972474684,0.21804850798107658,0.04010731529670138,6,2.309400910275984,nv_marble.jpg,nv_tile_hexagonal_green_white.jpg,nv_granite_tile.jpg
dist_250,simulation_1,128,1.4606343629457752,0.18542445547885297,0,0,0,-1,2,3.782230845776168,7.920452648412627,0,2,-16,3.9744445349950004,pinhole,180,55.25266464741798,1.4636220447662935,1,32,5,gaussian_jpeg,99,0,1.7371145562846282,1.6889123914351403,3,3,3,3,1,2,3,2,2,2,1,1,1,2,1,2,1.25,0.1443274666308668,warehouse,0,101,6.244407272140546,0,0.9335672541504174,0.004738328448378365,0.9988595278064203,0.0016249261849642794,1.0519026511824376,0.020238924294009728,97.5,1.4433759960661512,116259,277826,56,15.680682457902368,0.38190704894204447,0.1579636923853585,0.922241190118226,0.4480329145214382,6,2.3094010344309885,nv_concrete_aged_with_lines.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg
dist_251,simulation_1,128,0.5663451672714351,0.4753731259006213,0,0,0,-1,2,4.068584409154931,8.258121779955239,0,4,-21,4.598557268864998,pinhole,180,91.12542429592195,0.3418307543807143,0,24,7,gaussian_jpeg,92,0,4.974236221383589,1.726899727463132,2,2,2,2,1,2,5,3,3,2,1,1,2,2,1,2,1.25,0.1443323805753408,warehouse,0,76,6.252710317353458,0,0.9778690566801929,0.007773144186361601,1.050167342146179,0.0007658159464929141,0.9555399274856191,0.009528913901155634,97.5,1.443381689992096,112802,301175,127,46.122063619376426,0.47999177596220277,0.14451402554457327,1.125515550835425,0.4919149069904214,6,2.3094009923128827,nv_concrete_aged_with_lines.jpg,nv_wooden_wall.jpg,nv_asphalt_yellow_weathered.jpg
dist_252,simulation_1,128,1.3682486186158824,0.14775092086779854,0,0,0,-1,2,5.119031794238435,5.764845882387759,0,3,-12,4.168015058673294,pinhole,180,77.15114225333085,2.63326230850771,1,23,3,jpeg,75,1,2.8717223560719387,0.19361078440061685,2,2,3,4,1,2,4,1,4,2,1,1,2,2,1,2,1.25,0.14433441561703922,warehouse_with_forklifts,0,93,4.237511136329352,0,1.1079736266957723,0.0037853340299755195,1.0120623650600706,0.004242467603047555,0.9319722708036609,0.001125970862348853,97.5,1.44338499336667,118775,456352,387,201.38234193099143,0.48310281114502973,0.2753881001133898,0.960579973835366,0.6773654140703097,6,2.309400176256953,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_asphalt_yellow_weathered.jpg
dist_253,simulation_1,128,1.2343140284734435,0.42256764182006373,0,0,0,-1,2,5.518259727372216,6.123376763200968,0,1,-14,5.896453989155119,pinhole,180,87.92440251869564,2.2869429362520437,1,34,6,gaussian_jpeg,99,1,5.52846753958664,1.2974254505731053,2,2,2,4,1,2,4,1,2,2,2,1,1,2,1,2,1.25,0.1443309164956725,warehouse,0,72,6.8609130284403745,0,1.0381882869601635,0.006286920134962606,0.9260133936687676,0.006656012465615709,1.0322501705465137,0.0029093426438469992,97.5,1.4433771976716425,135992,156946,146,90.02874121093858,0.4589624184181178,0.18831727906726378,0.9988396261929957,0.4547966987909504,6,2.309400959909879,nv_concrete_aged_with_lines.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg
dist_254,simulation_1,128,2.3683128586597717,0.7914642931229948,0,0,0,-1,2,5.969860237938629,3.091401677504037,0,0,-6,3.5908687278228144,pinhole,180,98.70180817142838,2.112524490808041,0,30,8,shot,49,3,11.737042177714926,0.9699944664934259,2,3,5,4,1,2,2,4,2,4,1,3,3,2,3,2,1.25,0.144303064566028,full_warehouse,0,78,8.763436902816354,0,1.0114546071407169,0.0067540468757797375,0.9821349537647596,0.017266692019453928,1.052850011095054,0.014127728472171773,97.5,1.4433980138999207,100953,29073,484,118.10201311352257,0.4227675582951096,0.14031726128616495,1.324717500103446,0.6865198283414394,6,2.309400935476535,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,
dist_255,simulation_1,128,2.0785753625405756,0.231593125278564,0,0,0,-1,2,5.3923590633545455,8.3670917125481,0,1,-7,3.567101615137145,pinhole,180,64.41405568941165,0.38838473844270927,0,33,9,gaussian,95,1,1.9954589656746953,0.133399878633421,2,3,2,3,1,2,2,2,2,2,1,1,2,2,2,2,1.25,0.1443300154074784,full_warehouse,0,61,4.356264043132159,0,1.0445013126010931,0.006273781874901994,0.9310608020776401,0.004097622814413681,0.9617518525373782,0.018226356735645637,97.5,1.4433875571655308,202949,266817,115,57.69833190722372,0.3592183074348193,0.08125412875270502,1.0736318988487088,0.06033621483649018,6,2.30940086060138,nv_marble.jpg,nv_tile_hexagonal_green_white.jpg,nv_granite_tile.jpg
dist_256,simulation_1,128,1.669816935235683,0.9696874497660671,0,0,0,-1,2,4.507206163919767,5.031016554016778,0,1,-12,2.8203837022510534,pinhole,180,105.09445562179194,0.7010738133389829,0,34,3,shot,55,2,10.708694416117268,0.6246559569434953,2,3,4,3,1,2,2,3,2,4,1,1,3,2,2,2,1.25,0.14431451368046824,warehouse_with_forklifts,0,92,3.6793044414622833,0,0.9803487575134586,0.009783874299979822,0.9497490097443989,0.00364609550941862,0.9569170286537048,0.013037412192267861,97.5,1.4433972039056502,149338,30507,371,176.97805445538143,0.498017822709042,0.17710271415114315,2.156599638568964,0.7072618573970864,6,2.309400713120882,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,
dist_257,simulation_1,128,1.8809790049349429,0.9717565132716518,0,0,0,-1,2,3.558855787602463,5.262667791170239,0,0,-11,3.9677897092582755,pinhole,180,74.73267848433721,1.6383237371853365,0,35,7,shot_jpeg,52,3,10.769132449028664,0.5419095676149457,2,4,4,2,1,2,2,6,4,4,1,1,2,2,2,2,1.25,0.14430267493788204,full_warehouse,0,86,5.974973459916903,0,1.0302347636957998,0.009726100719968944,1.0761442470643758,0.0008048284148985866,0.9801036205992949,0.00698166154552603,97.5,1.4433952133442118,90437,133237,420,269.9451915628016,0.40291960224599915,0.19848576490329428,1.7699614338180574,0.5707989925520944,6,2.309400818245261,nv_asphalt_yellow_weathered.jpg,nv_stone_painted_grey.jpg,
dist_258,simulation_1,128,1.8661031986796703,0.13427141785388433,0,0,0,-1,2,4.73456757964918,7.244087335491478,0,0,-13,3.1328837971862677,pinhole,180,96.18134291274716,0.7961076993065288,1,21,5,jpeg,98,0,2.5497955585779533,0.0015681088497920825,3,3,3,4,1,2,2,2,4,2,1,1,2,2,1,2,1.25,0.1443352854385016,warehouse_with_forklifts,0,109,3.903896481304073,0,0.9570882246078941,0.012300291084596593,0.9843795356228009,0.015599915624784324,0.9287699212622553,0.0015947116939920994,97.5,1.4433774598036941,126333,582566,475,93.82469234227464,0.5396698901978763,0.2816486259983978,1.8398320130912946,0.7290790372083138,6,2.3094001288988046,nv_marble.jpg,nv_concrete_aged_with_lines.jpg,nv_gravel_grey_leaves.jpg
dist_259,simulation_1,128,1.9479348511560743,0.21147778526217897,0,0,0,-1,2,5.159048662219051,9.529582591514748,0,1,-13,5.49161064000346,pinhole,180,80.67466840419692,1.6635224000552677,1,26,4,gaussian_jpeg,88,1,7.381638156706283,1.1575678024050746,2,2,2,3,1,2,3,1,2,3,1,1,1,2,1,2,1.25,0.14432916863097034,warehouse,0,73,8.698875787400144,0,0.9170452887796833,0.00690553207717761,0.9357244461368412,0.0042504621335362714,0.9898480810974244,0.0022862254176031264,97.5,1.443382853081974,75010,343924,67,35.62378915585131,0.5272120601913357,0.20931243680405426,1.1387303570122587,0.479526504524329,6,2.30940101145526,nv_tile_hexagonal_various.jpg,nv_brick_reclaimed.jpg,nv_asphalt_yellow_weathered.jpg
