distribution_id,simulation_type,n_samples,metadata.synth_metadata_mean_std_synth_dataset_noise_enabled,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_jpeg_quality_std,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_sigma_std,metadata.synth_metadata_mean_std_synth_camera_height_mean,metadata.synth_metadata_mean_std_synth_camera_height_std,metadata.synth_metadata_mean_std_synth_camera_color_std_g,metadata.synth_metadata_mean_std_synth_camera_color_std_r,metadata.synth_metadata_mean_std_synth_camera_color_std_b,metadata.synth_metadata_mean_std_synth_camera_position_mean_x,metadata.synth_metadata_mean_std_synth_camera_position_mean_y,metadata.synth_metadata_mean_std_synth_camera_position_std_x,metadata.synth_metadata_mean_std_synth_camera_position_std_y,metadata.synth_metadata_mean_std_synth_camera_roll_mean,metadata.synth_metadata_mean_std_synth_camera_roll_std,metadata.synth_metadata_mean_std_synth_camera_tilt_mean,metadata.synth_metadata_mean_std_synth_camera_tilt_std,metadata.synth_metadata_mean_std_synth_camera_type,metadata.synth_metadata_mean_std_synth_camera_yaw_mean,metadata.synth_metadata_mean_std_synth_camera_yaw_std,metadata.synth_metadata_mean_std_synth_clutter_level,metadata.synth_metadata_mean_std_synth_dataset_noise_mode,metadata.synth_metadata_mean_std_synth_dataset_noise_seed,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_mean,metadata.synth_metadata_mean_std_synth_dataset_noise_shot_scale_std,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_diversity,metadata.synth_metadata_mean_std_synth_env_name,metadata.synth_metadata_mean_std_synth_image_augmentation_enabled,metadata.synth_metadata_mean_std_synth_fov_mean,metadata.synth_metadata_mean_std_synth_fov_std,metadata.synth_metadata_mean_std_synth_noise_std_mean,metadata.synth_metadata_mean_std_synth_noise_std_std,metadata.synth_metadata_mean_std_synth_texture_1,metadata.synth_metadata_mean_std_synth_texture_2,metadata.synth_metadata_mean_std_synth_texture_3,metadata.image_min,metadata.synth_metadata_mean_std_synth_texture_4,metadata.synth_metadata_mean_std_synth_image_contrast_gain_mean,metadata.synth_metadata_mean_std_synth_image_contrast_gain_std,metadata.synth_metadata_mean_std_synth_image_gamma_mean,metadata.synth_metadata_mean_std_synth_image_gamma_std,metadata.synth_metadata_mean_std_synth_lighting_intensity_mean,metadata.synth_metadata_mean_std_synth_lighting_intensity_std,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_mean,metadata.synth_metadata_mean_std_synth_materials_emissive_intensity_std,metadata.synth_metadata_mean_std_synth_materials_roughness_std,metadata.synth_metadata_mean_std_synth_materials_roughness_mean,metadata.synth_metadata_mean_std_synth_motion_blur_mean,metadata.synth_metadata_mean_std_synth_motion_blur_std,metadata.synth_metadata_mean_std_synth_image_brightness_gain_mean,metadata.synth_metadata_mean_std_synth_image_brightness_gain_std,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_Bucket_diversity,metadata.synth_metadata_mean_std_synth_dist_CardBox_diversity,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_diversity,metadata.synth_metadata_mean_std_synth_dist_PushCart_diversity,metadata.synth_metadata_mean_std_synth_dist_RackPile_diversity,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_diversity,metadata.synth_metadata_mean_std_synth_dist_BarelPlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_BottlePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_Bucket_occurrence,metadata.synth_metadata_mean_std_synth_dist_CardBox_occurrence,metadata.synth_metadata_mean_std_synth_dist_CratePlastic_occurrence,metadata.synth_metadata_mean_std_synth_dist_PushCart_occurrence,metadata.synth_metadata_mean_std_synth_dist_RackPile_occurrence,metadata.synth_metadata_mean_std_synth_dist_TrafficSigns_occurrence
dist_459,simulation_1,128,1,28,8,3.6717602082305874,1.29070267442467,3.109336623962739,0.3850256272344318,0,0,0,-1,2,3.4592798923949992,6.533707594468441,0,1,-6,3.8454071742324065,pinhole,180,100.60535590481908,3.9429551951297954,gaussian,-1,66,0,2,full_warehouse,0,92,9.394499753054287,6,2.3094002464498082,nv_tile_hexagonal_various.jpg,nv_gravel_grey_leaves.jpg,nv_concrete_aged_with_lines.jpg,0.028822775547846482,,1.0697003331848467,0.008022779935744373,0.9994905723164837,0.007476102695667556,50558,404127,138,29.870070481474936,0.2688611399554573,0.3594764130270109,1.241887833264001,0.20447075026723238,0.9627642350227201,0.00509418966022048,2,1,3,4,1,3,2,5,4,2,3,3,1,2,2
dist_460,simulation_1,128,0,35,10,2.7553399644797536,0.14228139242980745,1.921124517913244,0.1654884833400258,0,0,0,-1,2,5.390116866112177,5.815809694693141,0,3,-18,3.2660697398375214,pinhole,180,89.10370039356286,0.5290989487546656,gaussian,-1,89,1,3,full_warehouse,1,107,5.645852238915013,6,2.309400906708093,nv_brick_red_stacked.jpg,nv_wooden_wall.jpg,,0.03907393579705381,,0.9706819315357843,0.004233949750356357,1.0219007688561543,0.0009473377759082275,147714,217936,487,237.2921131400796,0.27683746065278825,0.5189274849122718,1.9871996155862939,0.5645188535631613,0.9520441450837863,0.008001921594269282,2,1,3,2,1,1,2,2,2,2,3,2,1,1,2
dist_461,simulation_1,128,0,25,10,4.086054513690219,0.23069740647347742,1.296852897767853,0.7367459535746922,0,0,0,-1,2,4.112757386678899,8.513890883643754,0,3,-16,0.12541094692206034,pinhole,180,104.79383709417527,4.217668692868991,jpeg,-1,78,0,2,warehouse,0,83,7.926712271201536,6,2.3094003159147554,nv_tile_hexagonal_various.jpg,nv_gravel_grey_leaves.jpg,nv_granite_tile.jpg,0.021869996507256174,,0.9491129909251753,0.0024535080755298156,0.9876581048107663,0.016281652985236525,42803,521904,265,81.39419096282126,0.2482518337180675,0.3673471741205033,1.4834319522016697,0.6874971896751486,1.0617788086413633,0.003466591267761639,2,1,2,2,2,3,2,2,2,2,3,3,1,1,2
dist_462,simulation_1,128,1,32,6,5.213939156982812,0.8680652298402889,2.8911985335220125,0.20848788040826025,0,0,0,-1,2,1.9163950225651478,9.054424388703184,0,2,-5,3.528028995993611,pinhole,180,108.83156633593386,3.4989218530452666,gaussian,-1,82,0,2,full_warehouse,0,91,8.620777913771247,6,2.3094001955059458,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,,0.04068208364782308,,1.0312529870987748,0.001978399235392606,0.9564556401653815,0.008739266090590538,115017,394589,278,93.10284693746989,0.26651146172706236,0.4079903350335277,1.8937903546247534,0.4760792392617966,1.0411790847713436,0.00354543744244255,3,1,2,3,1,3,2,5,2,2,3,2,1,2,2
dist_463,simulation_1,128,0,25,9,3.2410080455037313,0.4577749575184255,1.5412050351130404,0.27967747488496575,0,0,0,-1,2,2.6333695841458136,8.266719185180019,0,3,-6,2.4880375040279192,pinhole,180,98.54780760418801,3.01353100367638,shot_jpeg,-1,96,0,2,full_warehouse,0,98,9.325526389941132,6,2.309400153267082,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,nv_granite_tile.jpg,0.00991411579961138,,1.0017048097285584,0.0008685672619513307,1.0429153103631141,0.011617196654878766,114569,170050,22,101.4394134700459,0.2763455064712394,0.4509572054713479,1.6844310158074283,0.5060758599904052,1.0081168722859237,0.0009898755906626727,2,1,2,2,2,2,2,4,4,2,1,3,1,1,2
dist_464,simulation_1,128,1,27,9,3.867769546622963,1.1614025836785018,2.3248695773177306,0.42199788627693213,0,0,0,-1,2,2.700214512951428,9.415506980555284,0,0,-5,2.948941675283679,pinhole,180,64.24603444740619,3.970018758189544,shot_jpeg,-1,98,0,3,full_warehouse,0,100,9.233619715038943,6,2.3094003615933745,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,nv_granite_tile.jpg,0.135773601301439,,1.060715462378162,0.005163152161643177,1.0061263269823468,0.007021661222982648,48651,411263,201,78.83140179065913,0.24292773801359993,0.3703925243560839,1.8440776024863095,0.5267111037593032,1.0030599685727095,0.003900326189084255,3,1,2,4,1,3,2,5,2,2,4,2,1,1,2
dist_465,simulation_1,128,1,24,8,5.724783945903444,1.6129280795934529,2.4350572394920857,0.17785792807009015,0,0,0,-1,2,1.8310527995592873,7.781452395100307,0,1,-8,3.7177286533876632,pinhole,180,103.65086496516405,3.921913953782115,gaussian,-1,72,0,3,full_warehouse,0,104,9.259121352254581,6,2.309400142734898,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,nv_granite_tile.jpg,0.12297055330223625,,0.9985970158525415,0.004927857178752635,1.0541819939903496,0.007902172684980238,133755,575353,362,137.01197453305903,0.2568353198893889,0.2719123680901253,2.0092878688265228,0.5679155957642227,0.9913021031423279,0.0012847454411536437,2,1,3,4,1,3,2,4,2,2,4,2,1,1,2
dist_466,simulation_1,128,1,31,8,3.4239400743448734,1.6090251882765205,2.5768611992203194,0.3370448219203903,0,0,0,-1,2,2.1779853631178323,8.739989002896566,0,2,-5,3.0533738263762924,pinhole,180,88.12944097919782,3.187568053113158,shot,-1,71,0,3,full_warehouse,0,97,9.686897517646594,6,2.3094005652697613,nv_tile_hexagonal_various.jpg,,nv_granite_tile.jpg,0.19377372008623406,,1.0600271056260326,0.015281760466954166,1.012608470989443,0.01043965630197971,62898,360111,341,133.49574739596073,0.2871767940590392,0.4141597835462311,1.4158616616773378,0.7869564057119772,1.0954424466853916,0.0030179182490263413,2,1,4,4,1,3,2,5,2,2,4,3,1,1,2
dist_467,simulation_1,128,0,25,7,0.6327330335671442,0.952559972355665,1.3019617549510196,0.5734212068719841,0,0,0,-1,2,3.88142090336966,9.054437659534317,0,2,-1,4.407834334007212,pinhole,180,67.9020087001387,4.437241380745305,jpeg,-1,89,1,3,full_warehouse,0,93,6.736334196550793,6,2.309400082482257,nv_stone_painted_grey.jpg,nv_tile_square_green.jpg,nv_granite_tile.jpg,0.013713124516506874,,1.0743871565521483,0.009721239848775601,0.9929666598379147,0.010273000008861055,70079,294886,325,5.175082744773363,0.17560248487767818,0.35279946656967787,1.4101152847388687,0.8322462659764933,0.9320048717770952,0.00025119492557369385,2,1,4,2,1,2,2,4,3,2,3,2,1,2,2
dist_468,simulation_1,128,0,21,9,6.25635200204555,0.682839751599305,2.1037517259234133,0.41640375828352666,0,0,0,-1,2,2.5448082055496077,6.765808373965467,0,0,-10,4.629738129777856,pinhole,180,78.97707940343712,4.669677266375352,gaussian_jpeg,-1,100,0,3,full_warehouse,0,100,9.371735392092381,6,2.309400150250351,nv_tile_hexagonal_various.jpg,nv_tile_square_green.jpg,,0.08073293449073145,,1.0483712910315144,0.02107097595918753,1.0823387808114588,0.008128852992358201,185898,408856,77,127.83640701620847,0.21580181566480938,0.3471953963508344,2.3989816164932263,0.8246529017715124,1.0037566264988005,0.008644907450325303,2,1,4,2,1,3,2,3,2,2,3,3,2,2,2
